"Provincia"|||"Municipio"|||"Localidad"|||"Código postal"|||"Dirección"|||"Margen"|||"Longitud"|||"Latitud"|||"Toma de datos"|||"Precio gasolina 95 E5"|||"Precio gasolina 95 E10"|||"Precio gasolina 95 E5 Premium"|||"Precio gasolina 98 E5"|||"Precio gasolina 98 E10"|||"Precio gasóleo A"|||"Precio gasóleo Premium"|||"Precio gasóleo B"|||"Precio gasóleo C"|||"Precio bioetanol"|||"% bioalcohol"|||"Precio biodiésel"|||"% éster metílico"|||"Precio gases licuados del petróleo"|||"Precio gas natural comprimido"|||"Precio gas natural licuado"|||"Precio hidrógeno"|||"Rótulo"|||"Tipo venta"|||"Rem."|||"Horario"|||"Tipo servicio"|||
"BARCELONA"|||"ARENYS DE MAR"|||"ARENYS DE MAR"|||"08350"|||"POLIGONO VALLDEGATA DRAPER UASU 2-1, "|||"D"|||"2,541444"|||"41,575333"|||"15/05/2023 09:39"|||"1,529"|||""|||""|||""|||""|||"1,439"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"P FUEL EXPRESS"|||"P"|||"dm"|||"L-D: 24H"|||"L-D: 24H (A)"|||
"BARCELONA"|||"ARENYS DE MUNT"|||"ARENYS DE MUNT"|||"08358"|||"CR B-511, 2,2"|||"D"|||"2,542500"|||"41,597778"|||"18/05/2023 06:30"|||"1,659"|||""|||""|||"1,809"|||""|||"1,449"|||"1,509"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"REPSOL"|||"P"|||"dm"|||"L-D: 06:30-22:00"|||"L-D: 06:30-22:00 (P)"|||
"BARCELONA"|||"ARGENTONA"|||"ARGENTONA"|||"08310"|||"CARRETERA B-502 KM. 4,34"|||"D"|||"2,409750"|||"41,538944"|||"18/05/2023 00:00"|||"1,659"|||""|||""|||"1,809"|||""|||"1,439"|||"1,509"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"PETROCAT"|||"P"|||"OM"|||"L-D: 05:00-23:00"|||"L-D: 05:00-23:00 (A)"|||
"BARCELONA"|||"ARTÉS"|||"ARTES"|||"08271"|||"C/ ROCAFORT, 103 (B-4512 km 0,6)"|||"I"|||"1,946806"|||"41,795000"|||"08/05/2023 15:07"|||"1,489"|||""|||""|||"1,609"|||""|||"1,309"|||"1,409"|||"1,159"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"MEROIL"|||"P"|||"dm"|||"L-D: 06:00-22:00"|||"L-D: 06:00-22:00 (A)"|||
"BARCELONA"|||"AVINYÓ"|||"AVINYO"|||"08279"|||"CALLE ANTONI PONT  (B-431, PK 53), S/N"|||"D"|||"1,972389"|||"41,867472"|||"13/05/2023 09:45"|||"1,669"|||""|||"1,739"|||""|||""|||"1,449"|||"1,539"|||"1,269"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"E.S.  AVINYÓ   -CEPSA-"|||"P"|||"dm"|||"L-S: 06:00-22:00; D: 07:00-22:00"|||"Sin datos"|||
"BARCELONA"|||"BADALONA"|||"BADALONA"|||"08912"|||"CALLE INDUSTRIA, 371"|||"N"|||"2,238417"|||"41,436889"|||"16/05/2023 08:27"|||"1,478"|||""|||""|||"1,785"|||""|||"1,326"|||"1,356"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"EVOLUTION"|||"P"|||"dm"|||"L-D: 24H"|||"L-D: 24H (D)"|||
"BARCELONA"|||"BADALONA"|||"BADALONA"|||"08912"|||"CL INDUSTRIA, 629"|||"D"|||"2,232111"|||"41,431083"|||"18/05/2023 00:00"|||"1,669"|||""|||""|||"1,819"|||""|||"1,439"|||"1,529"|||""|||""|||""|||""|||""|||""|||"0,949"|||""|||""|||""|||"REPSOL"|||"P"|||"OM"|||"L-D: 05:00-23:00"|||"L-D: 05:00-23:00 (A)"|||
"BARCELONA"|||"BADALONA"|||"BADALONA"|||"08912"|||"AVDA. ALFONS XIII, 24 (N-II km 636,5)"|||"I"|||"2,237944"|||"41,444722"|||"13/05/2023 07:34"|||"1,677"|||""|||""|||"1,827"|||""|||"1,447"|||""|||"1,247"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"FITOGAS"|||"P"|||"dm"|||"L-J: 06:00-22:00; V-S: 06:00-23:00; D: 07:00-22:00"|||"L-J: 06:00-22:00 (A); V-S: 06:00-23:00 (A); D: 07:00-22:00 (A)"|||
"BARCELONA"|||"BADALONA"|||"BADALONA"|||"08911"|||"CARRETERA DE MATARO KM. 1"|||"D"|||"2,261306"|||"41,456944"|||"16/05/2023 11:29"|||"1,499"|||""|||""|||""|||""|||"1,329"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"LOWCOSTFUEL"|||"P"|||"dm"|||"L-D: 24H"|||"L-D: 24H (A)"|||
"BARCELONA"|||"BADALONA"|||"BADALONA"|||"08911"|||"CALLE SAN BRUNO, 17"|||"D"|||"2,250750"|||"41,453222"|||"18/05/2023 00:00"|||"1,689"|||""|||""|||"1,839"|||""|||"1,439"|||"1,509"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"REPSOL"|||"P"|||"OM"|||"L-D: 06:00-22:00"|||"L-D: 06:00-22:00 (A)"|||
